id,condtn,int_corr,samerace,match,race_m,race_w,field_cd_m,field_cd_w,undergra_m,undergra_w,imprace_m,imprace_w,imprelig_m,imprelig_w,zipcode_m,zipcode_w,goal_m,goal_w,date_m,date_w,go_out_m,go_out_w,career_c_m,career_c_w,from_c_m,from_c_w,sports_m,sports_w,tvsports_m,tvsports_w,exercise_m,exercise_w,dining_m,dining_w,museums_m,museums_w,art_m,art_w,hiking_m,hiking_w,gaming_m,gaming_w,clubbing_m,clubbing_w,reading_m,reading_w,tv_m,tv_w,theater_m,theater_w,movies_m,movies_w,concerts_m,concerts_w,music_m,music_w,shopping_m,shopping_w,yoga_m,yoga_w,exphappy_m,exphappy_w,attr1_1_m,attr1_1_w,sinc1_1_m,sinc1_1_w,intel1_1_m,intel1_1_w,fun1_1_m,fun1_1_w,amb1_1_m,amb1_1_w,shar1_1_m,shar1_1_w,attr2_1_m,attr2_1_w,sinc2_1_m,sinc2_1_w,intel2_1_m,intel2_1_w,fun2_1_m,fun2_1_w,amb2_1_m,amb2_1_w,shar2_1_m,shar2_1_w,attr3_1_m,attr3_1_w,sinc3_1_m,sinc3_1_w,fun3_1_m,fun3_1_w,intel3_1_m,intel3_1_w,amb3_1_m,amb3_1_w,dec_m,dec_w,attr_m,attr_w,sinc_m,sinc_w,intel_m,intel_w,fun_m,fun_w,amb_m,amb_w,shar_m,shar_w,like_m,like_w,prob_m,prob_w,met_m,met_w
"(66, 64)",1,-0.07,0,0,3.0,4.0,8.0,11.0,0,0.0,1.0,6.0,1.0,3.0,11000.0,11375.0,2.0,2.0,6.0,6.0,4.0,5.0,7.0,9.0,120.0,143.0,4.0,8.0,2.0,8.0,3.0,8.0,6.0,8.0,4.0,8.0,3.0,8.0,3.0,9.0,6.0,5.0,4.0,3.0,8.0,8.0,6.0,7.0,4.0,8.0,8.0,8.0,4.0,9.0,6.0,9.0,4.0,8.0,2.0,5.0,5.0,3.0,20.0,10.0,25.0,25.0,15.0,25.0,15.0,10.0,53.0,10.0,20.0,20.0,15.0,20.0,20.0,15.0,20.0,15.0,20.0,20.0,10.0,15.0,15.0,15.0,6.0,8.0,7.0,8.0,7.0,6.0,8.0,9.0,8.0,9.0,0,1,4.0,7.0,6.0,7.0,6.0,8.0,5.0,6.0,4.0,8.0,4.0,5.0,4.0,7.0,5.0,5.0,2.0,2.0
"(67, 64)",1,0.39,0,0,6.0,4.0,1.0,11.0,0,0.0,1.0,6.0,1.0,3.0,90503.0,11375.0,6.0,2.0,5.0,6.0,2.0,5.0,1.0,9.0,215.0,143.0,9.0,8.0,9.0,8.0,6.0,8.0,7.0,8.0,6.0,8.0,6.0,8.0,4.0,9.0,4.0,5.0,4.0,3.0,6.0,8.0,6.0,7.0,3.0,8.0,9.0,8.0,9.0,9.0,9.0,9.0,2.0,8.0,1.0,5.0,5.0,3.0,20.0,10.0,15.0,25.0,20.0,25.0,20.0,10.0,5.0,10.0,10.0,20.0,17.0,20.0,20.0,15.0,17.0,15.0,20.0,20.0,11.0,15.0,15.0,15.0,5.0,8.0,7.0,8.0,6.0,6.0,7.0,9.0,7.0,9.0,0,1,6.0,7.0,6.0,7.0,8.0,7.0,6.0,6.0,7.0,5.0,6.0,5.0,6.0,6.0,5.0,5.0,2.0,2.0
"(68, 64)",1,0.03,0,0,1.0,4.0,6.0,11.0,0,0.0,1.0,6.0,1.0,3.0,63034.0,11375.0,5.0,2.0,4.0,6.0,3.0,5.0,6.0,9.0,199.0,143.0,3.0,8.0,2.0,8.0,2.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,3.0,9.0,3.0,5.0,7.0,3.0,10.0,8.0,7.0,7.0,5.0,8.0,9.0,8.0,7.0,9.0,7.0,9.0,7.0,8.0,1.0,5.0,5.0,3.0,21.0,10.0,17.0,25.0,22.0,25.0,20.0,10.0,8.0,10.0,13.0,20.0,18.0,20.0,15.0,15.0,17.0,15.0,14.0,20.0,20.0,15.0,16.0,15.0,6.0,8.0,8.0,8.0,7.0,6.0,8.0,9.0,8.0,9.0,0,0,3.0,4.0,4.0,5.0,6.0,7.0,3.0,4.0,7.0,5.0,2.0,3.0,4.0,4.0,0.0,2.0,2.0,2.0
"(69, 64)",1,-0.18,0,0,2.0,4.0,8.0,11.0,0,0.0,2.0,6.0,2.0,3.0,0.0,11375.0,6.0,2.0,6.0,6.0,1.0,5.0,7.0,9.0,107.0,143.0,10.0,8.0,7.0,8.0,5.0,8.0,5.0,8.0,3.0,8.0,2.0,8.0,1.0,9.0,3.0,5.0,9.0,3.0,8.0,8.0,2.0,7.0,4.0,8.0,7.0,8.0,6.0,9.0,7.0,9.0,2.0,8.0,1.0,5.0,3.0,3.0,50.0,10.0,10.0,25.0,30.0,25.0,10.0,10.0,0.0,10.0,0.0,20.0,20.0,20.0,10.0,15.0,40.0,15.0,20.0,20.0,10.0,15.0,0.0,15.0,5.0,8.0,9.0,8.0,5.0,6.0,8.0,9.0,8.0,9.0,0,1,4.0,7.0,6.0,7.0,8.0,8.0,4.0,6.0,9.0,4.0,1.0,4.0,4.0,7.0,3.0,5.0,2.0,2.0
"(70, 64)",1,0.34,0,0,2.0,4.0,8.0,11.0,0,0.0,5.0,6.0,1.0,3.0,53705.0,11375.0,5.0,2.0,2.0,6.0,1.0,5.0,7.0,9.0,25.0,143.0,9.0,8.0,4.0,8.0,9.0,8.0,5.0,8.0,7.0,8.0,5.0,8.0,7.0,9.0,5.0,5.0,5.0,3.0,8.0,8.0,3.0,7.0,7.0,8.0,8.0,8.0,5.0,9.0,8.0,9.0,5.0,8.0,6.0,5.0,3.0,3.0,25.0,10.0,10.0,25.0,20.0,25.0,20.0,10.0,15.0,10.0,10.0,20.0,20.0,20.0,5.0,15.0,25.0,15.0,30.0,20.0,15.0,15.0,5.0,15.0,8.0,8.0,6.0,8.0,8.0,6.0,9.0,9.0,6.0,9.0,0,0,6.0,5.0,6.0,6.0,9.0,8.0,6.0,6.0,6.0,8.0,5.0,4.0,6.0,5.0,2.0,3.0,2.0,2.0
"(71, 64)",1,-0.05,0,0,2.0,4.0,1.0,11.0,0,0.0,6.0,6.0,7.0,3.0,55345.0,11375.0,5.0,2.0,6.0,6.0,2.0,5.0,14.0,9.0,130.0,143.0,9.0,8.0,10.0,8.0,6.0,8.0,4.0,8.0,3.0,8.0,3.0,8.0,7.0,9.0,6.0,5.0,7.0,3.0,7.0,8.0,8.0,7.0,3.0,8.0,10.0,8.0,6.0,9.0,8.0,9.0,2.0,8.0,1.0,5.0,9.0,3.0,60.0,10.0,15.0,25.0,0.0,25.0,15.0,10.0,0.0,10.0,10.0,20.0,80.0,20.0,10.0,15.0,0.0,15.0,10.0,20.0,0.0,15.0,0.0,15.0,6.0,8.0,8.0,8.0,8.0,6.0,10.0,9.0,10.0,9.0,0,1,7.0,5.0,7.0,6.0,9.0,6.0,8.0,4.0,8.0,7.0,5.0,5.0,6.0,6.0,0.0,4.0,2.0,2.0
"(72, 64)",1,0.07,0,0,2.0,4.0,5.0,11.0,0,0.0,8.0,6.0,1.0,3.0,2021.0,11375.0,5.0,2.0,6.0,6.0,1.0,5.0,7.0,9.0,25.0,143.0,8.0,8.0,3.0,8.0,7.0,8.0,10.0,8.0,6.0,8.0,6.0,8.0,7.0,9.0,2.0,5.0,9.0,3.0,5.0,8.0,6.0,7.0,7.0,8.0,7.0,8.0,6.0,9.0,8.0,9.0,8.0,8.0,4.0,5.0,7.0,3.0,21.0,10.0,20.0,25.0,19.0,25.0,20.0,10.0,10.0,10.0,10.0,20.0,30.0,20.0,15.0,15.0,10.0,15.0,20.0,20.0,10.0,15.0,15.0,15.0,7.0,8.0,9.0,8.0,8.0,6.0,8.0,9.0,8.0,9.0,0,1,6.0,6.0,7.0,6.0,8.0,7.0,4.0,6.0,7.0,6.0,6.0,6.0,5.0,6.0,5.0,4.0,2.0,2.0
"(73, 64)",1,-0.01,0,0,2.0,4.0,8.0,11.0,0,0.0,7.0,6.0,3.0,3.0,6883.0,11375.0,6.0,2.0,4.0,6.0,2.0,5.0,7.0,9.0,49.0,143.0,9.0,8.0,9.0,8.0,7.0,8.0,6.0,8.0,5.0,8.0,4.0,8.0,4.0,9.0,6.0,5.0,6.0,3.0,5.0,8.0,5.0,7.0,5.0,8.0,7.0,8.0,7.0,9.0,6.0,9.0,4.0,8.0,1.0,5.0,2.0,3.0,30.0,10.0,10.0,25.0,20.0,25.0,30.0,10.0,0.0,10.0,10.0,20.0,20.0,20.0,10.0,15.0,20.0,15.0,30.0,20.0,10.0,15.0,10.0,15.0,7.0,8.0,7.0,8.0,8.0,6.0,7.0,9.0,8.0,9.0,0,1,3.0,6.0,7.0,6.0,6.0,7.0,6.0,6.0,5.0,5.0,5.0,4.0,3.0,5.0,1.0,3.0,2.0,
"(74, 64)",1,0.15,0,0,2.0,4.0,5.0,11.0,0,0.0,3.0,6.0,1.0,3.0,30100.0,11375.0,5.0,2.0,7.0,6.0,2.0,5.0,5.0,9.0,198.0,143.0,8.0,8.0,3.0,8.0,5.0,8.0,9.0,8.0,10.0,8.0,10.0,8.0,9.0,9.0,6.0,5.0,8.0,3.0,10.0,8.0,2.0,7.0,9.0,8.0,10.0,8.0,8.0,9.0,8.0,9.0,3.0,8.0,5.0,5.0,9.0,3.0,30.0,10.0,0.0,25.0,30.0,25.0,30.0,10.0,10.0,10.0,0.0,20.0,30.0,20.0,0.0,15.0,10.0,15.0,30.0,20.0,10.0,15.0,20.0,15.0,7.0,8.0,9.0,8.0,9.0,6.0,8.0,9.0,7.0,9.0,1,0,8.0,6.0,7.0,6.0,7.0,6.0,9.0,5.0,6.0,6.0,8.0,4.0,8.0,5.0,7.0,4.0,2.0,2.0
"(75, 64)",1,-0.17,0,1,6.0,4.0,1.0,11.0,0,0.0,3.0,6.0,3.0,3.0,33511.0,11375.0,6.0,2.0,5.0,6.0,3.0,5.0,1.0,9.0,164.0,143.0,8.0,8.0,2.0,8.0,8.0,8.0,7.0,8.0,7.0,8.0,7.0,8.0,7.0,9.0,5.0,5.0,9.0,3.0,8.0,8.0,8.0,7.0,5.0,8.0,7.0,8.0,6.0,9.0,8.0,9.0,5.0,8.0,5.0,5.0,5.0,3.0,20.0,10.0,20.0,25.0,20.0,25.0,20.0,10.0,10.0,10.0,10.0,20.0,15.0,20.0,15.0,15.0,15.0,15.0,20.0,20.0,20.0,15.0,15.0,15.0,7.0,8.0,7.0,8.0,8.0,6.0,8.0,9.0,8.0,9.0,1,1,6.0,8.0,6.0,6.0,7.0,8.0,5.0,5.0,6.0,8.0,5.0,5.0,6.0,6.0,7.0,5.0,2.0,2.0
"(66, 65)",1,0.48,0,0,3.0,6.0,8.0,11.0,0,0.0,1.0,6.0,1.0,3.0,11000.0,4605.0,2.0,2.0,6.0,5.0,4.0,3.0,7.0,3.0,120.0,25.0,4.0,7.0,2.0,5.0,3.0,7.0,6.0,8.0,4.0,8.0,3.0,8.0,3.0,8.0,6.0,8.0,4.0,9.0,8.0,8.0,6.0,8.0,4.0,8.0,8.0,9.0,4.0,8.0,6.0,8.0,4.0,9.0,2.0,6.0,5.0,7.0,20.0,17.0,25.0,17.0,15.0,17.0,15.0,17.0,53.0,17.0,20.0,15.0,15.0,20.0,20.0,18.0,20.0,18.0,20.0,14.0,10.0,15.0,15.0,15.0,6.0,7.0,7.0,9.0,7.0,9.0,8.0,8.0,8.0,9.0,1,0,8.0,6.0,8.0,7.0,8.0,8.0,8.0,7.0,6.0,8.0,8.0,6.0,8.0,6.0,7.0,6.0,2.0,2.0
"(67, 65)",1,-0.43,1,0,6.0,6.0,1.0,11.0,0,0.0,1.0,6.0,1.0,3.0,90503.0,4605.0,6.0,2.0,5.0,5.0,2.0,3.0,1.0,3.0,215.0,25.0,9.0,7.0,9.0,5.0,6.0,7.0,7.0,8.0,6.0,8.0,6.0,8.0,4.0,8.0,4.0,8.0,4.0,9.0,6.0,8.0,6.0,8.0,3.0,8.0,9.0,9.0,9.0,8.0,9.0,8.0,2.0,9.0,1.0,6.0,5.0,7.0,20.0,17.0,15.0,17.0,20.0,17.0,20.0,17.0,5.0,17.0,10.0,15.0,17.0,20.0,20.0,18.0,17.0,18.0,20.0,14.0,11.0,15.0,15.0,15.0,5.0,7.0,7.0,9.0,6.0,9.0,7.0,8.0,7.0,9.0,1,0,7.0,6.0,6.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,5.0,5.0,2.0,2.0
"(68, 65)",1,0.65,0,0,1.0,6.0,6.0,11.0,0,0.0,1.0,6.0,1.0,3.0,63034.0,4605.0,5.0,2.0,4.0,5.0,3.0,3.0,6.0,3.0,199.0,25.0,3.0,7.0,2.0,5.0,2.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,3.0,8.0,3.0,8.0,7.0,9.0,10.0,8.0,7.0,8.0,5.0,8.0,9.0,9.0,7.0,8.0,7.0,8.0,7.0,9.0,1.0,6.0,5.0,7.0,21.0,17.0,17.0,17.0,22.0,17.0,20.0,17.0,8.0,17.0,13.0,15.0,18.0,20.0,15.0,18.0,17.0,18.0,14.0,14.0,20.0,15.0,16.0,15.0,6.0,7.0,8.0,9.0,7.0,9.0,8.0,8.0,8.0,9.0,0,0,6.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,5.0,7.0,3.0,6.0,6.0,6.0,5.0,5.0,2.0,2.0
"(69, 65)",1,-0.2,0,0,2.0,6.0,8.0,11.0,0,0.0,2.0,6.0,2.0,3.0,0.0,4605.0,6.0,2.0,6.0,5.0,1.0,3.0,7.0,3.0,107.0,25.0,10.0,7.0,7.0,5.0,5.0,7.0,5.0,8.0,3.0,8.0,2.0,8.0,1.0,8.0,3.0,8.0,9.0,9.0,8.0,8.0,2.0,8.0,4.0,8.0,7.0,9.0,6.0,8.0,7.0,8.0,2.0,9.0,1.0,6.0,3.0,7.0,50.0,17.0,10.0,17.0,30.0,17.0,10.0,17.0,0.0,17.0,0.0,15.0,20.0,20.0,10.0,18.0,40.0,18.0,20.0,14.0,10.0,15.0,0.0,15.0,5.0,7.0,9.0,9.0,5.0,9.0,8.0,8.0,8.0,9.0,0,0,5.0,7.0,6.0,7.0,5.0,7.0,8.0,7.0,6.0,8.0,2.0,6.0,5.0,6.0,4.0,6.0,2.0,2.0
"(70, 65)",1,0.02,0,0,2.0,6.0,8.0,11.0,0,0.0,5.0,6.0,1.0,3.0,53705.0,4605.0,5.0,2.0,2.0,5.0,1.0,3.0,7.0,3.0,25.0,25.0,9.0,7.0,4.0,5.0,9.0,7.0,5.0,8.0,7.0,8.0,5.0,8.0,7.0,8.0,5.0,8.0,5.0,9.0,8.0,8.0,3.0,8.0,7.0,8.0,8.0,9.0,5.0,8.0,8.0,8.0,5.0,9.0,6.0,6.0,3.0,7.0,25.0,17.0,10.0,17.0,20.0,17.0,20.0,17.0,15.0,17.0,10.0,15.0,20.0,20.0,5.0,18.0,25.0,18.0,30.0,14.0,15.0,15.0,5.0,15.0,8.0,7.0,6.0,9.0,8.0,9.0,9.0,8.0,6.0,9.0,0,0,7.0,7.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,7.0,8.0,6.0,7.0,6.0,3.0,5.0,2.0,2.0
"(71, 65)",1,-0.37,0,0,2.0,6.0,1.0,11.0,0,0.0,6.0,6.0,7.0,3.0,55345.0,4605.0,5.0,2.0,6.0,5.0,2.0,3.0,14.0,3.0,130.0,25.0,9.0,7.0,10.0,5.0,6.0,7.0,4.0,8.0,3.0,8.0,3.0,8.0,7.0,8.0,6.0,8.0,7.0,9.0,7.0,8.0,8.0,8.0,3.0,8.0,10.0,9.0,6.0,8.0,8.0,8.0,2.0,9.0,1.0,6.0,9.0,7.0,60.0,17.0,15.0,17.0,0.0,17.0,15.0,17.0,0.0,17.0,10.0,15.0,80.0,20.0,10.0,18.0,0.0,18.0,10.0,14.0,0.0,15.0,0.0,15.0,6.0,7.0,8.0,9.0,8.0,9.0,10.0,8.0,10.0,9.0,1,0,8.0,5.0,8.0,7.0,9.0,7.0,9.0,5.0,8.0,7.0,6.0,5.0,7.0,5.0,1.0,4.0,2.0,2.0
"(72, 65)",1,0.45,0,0,2.0,6.0,5.0,11.0,0,0.0,8.0,6.0,1.0,3.0,2021.0,4605.0,5.0,2.0,6.0,5.0,1.0,3.0,7.0,3.0,25.0,25.0,8.0,7.0,3.0,5.0,7.0,7.0,10.0,8.0,6.0,8.0,6.0,8.0,7.0,8.0,2.0,8.0,9.0,9.0,5.0,8.0,6.0,8.0,7.0,8.0,7.0,9.0,6.0,8.0,8.0,8.0,8.0,9.0,4.0,6.0,7.0,7.0,21.0,17.0,20.0,17.0,19.0,17.0,20.0,17.0,10.0,17.0,10.0,15.0,30.0,20.0,15.0,18.0,10.0,18.0,20.0,14.0,10.0,15.0,15.0,15.0,7.0,7.0,9.0,9.0,8.0,9.0,8.0,8.0,8.0,9.0,0,0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,7.0,7.0,7.0,6.0,7.0,5.0,2.0,2.0
"(73, 65)",1,-0.63,0,0,2.0,6.0,8.0,11.0,0,0.0,7.0,6.0,3.0,3.0,6883.0,4605.0,6.0,2.0,4.0,5.0,2.0,3.0,7.0,3.0,49.0,25.0,9.0,7.0,9.0,5.0,7.0,7.0,6.0,8.0,5.0,8.0,4.0,8.0,4.0,8.0,6.0,8.0,6.0,9.0,5.0,8.0,5.0,8.0,5.0,8.0,7.0,9.0,7.0,8.0,6.0,8.0,4.0,9.0,1.0,6.0,2.0,7.0,30.0,17.0,10.0,17.0,20.0,17.0,30.0,17.0,0.0,17.0,10.0,15.0,20.0,20.0,10.0,18.0,20.0,18.0,30.0,14.0,10.0,15.0,10.0,15.0,7.0,7.0,7.0,9.0,8.0,9.0,7.0,8.0,8.0,9.0,0,0,6.0,7.0,8.0,7.0,7.0,7.0,7.0,8.0,6.0,8.0,5.0,5.0,6.0,6.0,5.0,6.0,2.0,2.0
"(74, 65)",1,0.35,0,0,2.0,6.0,5.0,11.0,0,0.0,3.0,6.0,1.0,3.0,30100.0,4605.0,5.0,2.0,7.0,5.0,2.0,3.0,5.0,3.0,198.0,25.0,8.0,7.0,3.0,5.0,5.0,7.0,9.0,8.0,10.0,8.0,10.0,8.0,9.0,8.0,6.0,8.0,8.0,9.0,10.0,8.0,2.0,8.0,9.0,8.0,10.0,9.0,8.0,8.0,8.0,8.0,3.0,9.0,5.0,6.0,9.0,7.0,30.0,17.0,0.0,17.0,30.0,17.0,30.0,17.0,10.0,17.0,0.0,15.0,30.0,20.0,0.0,18.0,10.0,18.0,30.0,14.0,10.0,15.0,20.0,15.0,7.0,7.0,9.0,9.0,9.0,9.0,8.0,8.0,7.0,9.0,0,0,7.0,7.0,9.0,7.0,8.0,7.0,9.0,7.0,5.0,7.0,6.0,5.0,6.0,6.0,3.0,6.0,2.0,2.0
"(75, 65)",1,0.5,1,0,6.0,6.0,1.0,11.0,0,0.0,3.0,6.0,3.0,3.0,33511.0,4605.0,6.0,2.0,5.0,5.0,3.0,3.0,1.0,3.0,164.0,25.0,8.0,7.0,2.0,5.0,8.0,7.0,7.0,8.0,7.0,8.0,7.0,8.0,7.0,8.0,5.0,8.0,9.0,9.0,8.0,8.0,8.0,8.0,5.0,8.0,7.0,9.0,6.0,8.0,8.0,8.0,5.0,9.0,5.0,6.0,5.0,7.0,20.0,17.0,20.0,17.0,20.0,17.0,20.0,17.0,10.0,17.0,10.0,15.0,15.0,20.0,15.0,18.0,15.0,18.0,20.0,14.0,20.0,15.0,15.0,15.0,7.0,7.0,7.0,9.0,8.0,9.0,8.0,8.0,8.0,9.0,1,0,6.0,5.0,7.0,8.0,6.0,7.0,8.0,6.0,6.0,8.0,5.0,5.0,6.0,5.0,7.0,4.0,2.0,2.0
"(94, 76)",2,0.21,0,1,4.0,2.0,8.0,6.0,0,0.0,6.0,5.0,8.0,7.0,0.0,44118.0,2.0,2.0,6.0,7.0,3.0,2.0,7.0,2.0,16.0,152.0,7.0,1.0,2.0,7.0,8.0,6.0,8.0,8.0,5.0,8.0,4.0,8.0,4.0,5.0,3.0,1.0,3.0,7.0,9.0,7.0,5.0,4.0,7.0,8.0,9.0,8.0,6.0,8.0,7.0,7.0,4.0,7.0,5.0,7.0,5.0,6.0,20.0,10.0,20.0,10.0,20.0,30.0,10.0,20.0,10.0,10.0,20.0,20.0,50.0,50.0,0.0,10.0,30.0,10.0,20.0,10.0,0.0,10.0,0.0,10.0,6.0,6.0,9.0,6.0,9.0,6.0,9.0,8.0,7.0,4.0,1,1,6.0,5.0,6.0,5.0,6.0,5.0,7.0,10.0,7.0,8.0,6.0,,7.0,5.0,7.0,5.0,2.0,2.0
"(95, 76)",2,-0.18,1,0,2.0,2.0,8.0,6.0,0,0.0,7.0,5.0,5.0,7.0,11753.0,44118.0,1.0,2.0,5.0,7.0,2.0,2.0,7.0,2.0,108.0,152.0,10.0,1.0,10.0,7.0,6.0,6.0,6.0,8.0,4.0,8.0,3.0,8.0,1.0,5.0,6.0,1.0,4.0,7.0,7.0,7.0,9.0,4.0,5.0,8.0,10.0,8.0,8.0,8.0,10.0,7.0,3.0,7.0,3.0,7.0,6.0,6.0,18.0,10.0,18.0,10.0,18.0,30.0,19.0,20.0,13.0,10.0,14.0,20.0,16.0,50.0,15.0,10.0,19.0,10.0,23.0,10.0,14.0,10.0,13.0,10.0,7.0,6.0,9.0,6.0,8.0,6.0,10.0,8.0,7.0,4.0,0,0,6.0,4.0,6.0,5.0,7.0,5.0,8.0,4.0,4.0,6.0,6.0,,5.0,2.0,4.0,2.0,2.0,2.0
"(96, 76)",2,0.65,0,0,3.0,2.0,5.0,6.0,0,0.0,3.0,5.0,6.0,7.0,10027.0,44118.0,1.0,2.0,7.0,7.0,1.0,2.0,2.0,2.0,6.0,152.0,5.0,1.0,8.0,7.0,7.0,6.0,10.0,8.0,10.0,8.0,8.0,8.0,10.0,5.0,6.0,1.0,8.0,7.0,8.0,7.0,3.0,4.0,8.0,8.0,9.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,3.0,7.0,7.0,6.0,10.0,10.0,20.0,10.0,20.0,30.0,22.0,20.0,6.0,10.0,22.0,20.0,20.0,50.0,25.0,10.0,15.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,7.0,6.0,9.0,6.0,9.0,6.0,9.0,8.0,9.0,4.0,1,0,6.0,2.0,7.0,10.0,7.0,4.0,8.0,4.0,,4.0,,,7.0,2.0,7.0,2.0,,2.0
"(97, 76)",2,0.08,1,0,2.0,2.0,10.0,6.0,0,0.0,4.0,5.0,1.0,7.0,11215.0,44118.0,2.0,2.0,5.0,7.0,2.0,2.0,2.0,2.0,33.0,152.0,6.0,1.0,8.0,7.0,8.0,6.0,3.0,8.0,3.0,8.0,3.0,8.0,6.0,5.0,1.0,1.0,5.0,7.0,8.0,7.0,3.0,4.0,2.0,8.0,7.0,8.0,3.0,8.0,7.0,7.0,3.0,7.0,5.0,7.0,5.0,6.0,50.0,10.0,7.0,10.0,20.0,30.0,23.0,20.0,0.0,10.0,0.0,20.0,30.0,50.0,10.0,10.0,12.0,10.0,8.0,10.0,30.0,10.0,10.0,10.0,7.0,6.0,5.0,6.0,7.0,6.0,6.0,8.0,6.0,4.0,0,1,4.0,10.0,6.0,8.0,7.0,10.0,7.0,8.0,7.0,,7.0,,4.0,10.0,7.0,7.0,2.0,2.0
"(98, 76)",2,0.24,1,0,2.0,2.0,11.0,6.0,0,0.0,1.0,5.0,1.0,7.0,45242.0,44118.0,4.0,2.0,4.0,7.0,2.0,2.0,2.0,2.0,53.0,152.0,8.0,1.0,8.0,7.0,8.0,6.0,7.0,8.0,3.0,8.0,3.0,8.0,5.0,5.0,1.0,1.0,7.0,7.0,7.0,7.0,3.0,4.0,7.0,8.0,8.0,8.0,6.0,8.0,8.0,7.0,2.0,7.0,7.0,7.0,5.0,6.0,40.0,10.0,20.0,10.0,15.0,30.0,20.0,20.0,0.0,10.0,5.0,20.0,30.0,50.0,14.0,10.0,14.0,10.0,14.0,10.0,14.0,10.0,14.0,10.0,8.0,6.0,8.0,6.0,8.0,6.0,8.0,8.0,8.0,4.0,1,0,10.0,2.0,10.0,10.0,10.0,5.0,,2.0,,,,,10.0,2.0,2.0,2.0,2.0,2.0
"(99, 76)",2,0.71,1,0,2.0,2.0,1.0,6.0,0,0.0,1.0,5.0,1.0,7.0,10022.0,44118.0,3.0,2.0,3.0,7.0,2.0,2.0,1.0,2.0,143.0,152.0,5.0,1.0,5.0,7.0,5.0,6.0,8.0,8.0,10.0,8.0,10.0,8.0,5.0,5.0,5.0,1.0,9.0,7.0,6.0,7.0,6.0,4.0,10.0,8.0,10.0,8.0,10.0,8.0,10.0,7.0,8.0,7.0,5.0,7.0,8.0,6.0,30.0,10.0,30.0,10.0,20.0,30.0,10.0,20.0,10.0,10.0,0.0,20.0,20.0,50.0,20.0,10.0,20.0,10.0,10.0,10.0,25.0,10.0,5.0,10.0,10.0,6.0,10.0,6.0,10.0,6.0,10.0,8.0,8.0,4.0,0,1,4.0,6.0,7.0,8.0,8.0,8.0,5.0,6.0,7.0,8.0,3.0,,6.0,2.0,9.0,2.0,2.0,2.0
"(100, 76)",2,0.51,0,0,6.0,2.0,8.0,6.0,0,0.0,8.0,5.0,9.0,7.0,92425.0,44118.0,1.0,2.0,3.0,7.0,2.0,2.0,2.0,2.0,95.0,152.0,5.0,1.0,4.0,7.0,6.0,6.0,7.0,8.0,6.0,8.0,6.0,8.0,2.0,5.0,2.0,1.0,4.0,7.0,6.0,7.0,5.0,4.0,7.0,8.0,7.0,8.0,3.0,8.0,7.0,7.0,6.0,7.0,2.0,7.0,5.0,6.0,20.0,10.0,25.0,10.0,25.0,30.0,15.0,20.0,5.0,10.0,10.0,20.0,20.0,50.0,15.0,10.0,20.0,10.0,15.0,10.0,15.0,10.0,15.0,10.0,7.0,6.0,8.0,6.0,8.0,6.0,9.0,8.0,6.0,4.0,0,0,4.0,1.0,7.0,10.0,8.0,,7.0,,7.0,,4.0,,5.0,1.0,5.0,1.0,2.0,2.0
"(101, 76)",2,0.15,0,0,4.0,2.0,8.0,6.0,0,0.0,3.0,5.0,2.0,7.0,110015.0,44118.0,3.0,2.0,4.0,7.0,3.0,2.0,7.0,2.0,87.0,152.0,9.0,1.0,9.0,7.0,7.0,6.0,9.0,8.0,9.0,8.0,9.0,8.0,8.0,5.0,8.0,1.0,9.0,7.0,8.0,7.0,7.0,4.0,9.0,8.0,8.0,8.0,7.0,8.0,8.0,7.0,8.0,7.0,4.0,7.0,7.0,6.0,40.0,10.0,8.0,10.0,10.0,30.0,12.0,20.0,10.0,10.0,20.0,20.0,20.0,50.0,10.0,10.0,10.0,10.0,30.0,10.0,10.0,10.0,20.0,10.0,8.0,6.0,8.0,6.0,8.0,6.0,9.0,8.0,9.0,4.0,1,0,7.0,1.0,7.0,10.0,8.0,5.0,8.0,,,,6.0,,7.0,2.0,4.0,2.0,2.0,
